n,mu,sigma,noise,time
50000,0.1,0.5,0.001,0.44
50000,0.1,0.5,0.001,0.43
50000,0.1,0.5,0.001,0.42
50000,0.1,0.5,0.001,0.54
100000,0.1,0.5,0.001,0.63
500000,0.1,0.5,0.001,1.73
1000000,0.1,0.5,0.001,3.19
1000000,0.1,0.5,0.001,3.17
2000000,0.1,0.5,0.001,5.74
3000000,0.1,0.5,0.001,8.25
3000000,0.1,0.5,0.001,8.18
3000000,0.1,0.5,0.01,8.25
4000000,0.1,0.5,0.001,10.99
5000000,0.1,0.5,0.001,13.35
5000000,0.1,0.5,0.001,13.54
5000000,0.1,0.5,0.001,15.64
6000000,0.1,0.5,0.001,16.94
7000000,0.1,0.5,0.001,20.71
7000000,0.1,0.5,0.001,18.66
8000000,0.1,0.5,0.001,31.20
9000000,0.1,0.5,0.001,38.37
9000000,0.1,0.5,0.001,39.17
10000000,0.1,0.5,0.001,67.63
10000000,0.1,0.5,0.001,66.33
